A,B,C,OD,l,epsilon_r,maxFreq,middleFreq
0.035,0.015,0.008,0.06,0.004,2.1,3.03923131761515,1.65993817853938
0.03,0.015,0.008,0.06,0.004,2.1,3.15920097488943,1.70799042804703
0.03,0.0175,0.008,0.06,0.004,2.1,3.79903914701894,1.99460304203546
0.02,0.015,0.008,0.06,0.004,2.1,9.91749166800733,3.4680457924064
0.02,0.0175,0.008,0.06,0.004,2.1,9.91749166800733,3.4680457924064
0.025,0.015,0.008,0.06,0.004,2.1,9.91749166800733,3.4680457924064
0.025,0.0175,0.008,0.06,0.004,2.1,9.91749166800733,3.4680457924064
0.04,0.0175,0.008,0.06,0.004,2.1,3.47912006095418,1.97921281966001
0.04,0.015,0.008,0.06,0.004,2.1,2.91926166034087,1.64999424013867
0.035,0.0175,0.008,0.06,0.004,2.1,3.51910994671228,2.03616437856656
0.02,0.02,0.008,0.06,0.004,2.1,9.91749166800733,3.4680457924064
0.03,0.02,0.008,0.06,0.004,2.1,6.51835137856933,2.8100897480558
0.025,0.02,0.008,0.06,0.004,2.1,9.91749166800733,3.4680457924064
0.04,0.02,0.008,0.06,0.004,2.1,4.51885709066463,2.26689579428672
0.02,0.015,0.009,0.06,0.004,2.1,9.91751141869473,3.39863559147704
0.035,0.02,0.008,0.06,0.004,2.1,4.7188065194551,2.46208944984686
0.03,0.015,0.009,0.06,0.004,2.1,3.11921730104109,1.72228534819577
0.04,0.015,0.009,0.06,0.004,2.1,2.83928754325535,1.65463607379828
0.025,0.015,0.009,0.06,0.004,2.1,9.91751141869473,3.39863559147704
0.035,0.015,0.009,0.06,0.004,2.1,2.95925743944923,1.51350080943319
0.04,0.0175,0.009,0.06,0.004,2.1,4.75880588235755,2.10332492431701
0.025,0.0175,0.009,0.06,0.004,2.1,9.91751141869473,3.39863559147704
0.02,0.0175,0.009,0.06,0.004,2.1,9.91751141869473,3.39863559147704
0.02,0.02,0.009,0.06,0.004,2.1,9.91751141869473,3.39863559147704
0.035,0.0175,0.009,0.06,0.004,2.1,3.39914705882682,1.80793004758663
0.03,0.0175,0.009,0.06,0.004,2.1,3.71906678201052,1.99624574318402
0.025,0.02,0.009,0.06,0.004,2.1,9.91751141869473,3.39863559147704
0.03,0.02,0.009,0.06,0.004,2.1,4.5988460207657,2.6132802359677
0.035,0.02,0.009,0.06,0.004,2.1,4.278926297582,2.33198042454891
0.04,0.02,0.009,0.06,0.004,2.1,4.83878581315348,2.27623660732482
0.02,0.015,0.01,0.06,0.004,2.1,9.9175311694608,2.96560363112318
0.025,0.015,0.01,0.06,0.004,2.1,9.9175311694608,2.96560363112318
0.03,0.015,0.01,0.06,0.004,2.1,3.11922351297557,1.62667308642334
0.035,0.015,0.01,0.06,0.004,2.1,2.87928324274668,1.46337085108913
0.02,0.0175,0.01,0.06,0.004,2.1,9.9175311694608,2.96560363112318
0.04,0.015,0.01,0.06,0.004,2.1,2.75931310763224,1.50020446639648
0.025,0.0175,0.01,0.06,0.004,2.1,9.9175311694608,2.96560363112318
0.035,0.0175,0.01,0.06,0.004,2.1,3.39915382824261,1.70231337224191
0.03,0.0175,0.01,0.06,0.004,2.1,3.7190741885478,1.9193185786259
0.04,0.0175,0.01,0.06,0.004,2.1,3.23919364809002,1.71570694364019
0.025,0.02,0.01,0.06,0.004,2.1,9.9175311694608,2.96560363112318
0.02,0.02,0.01,0.06,0.004,2.1,9.9175311694608,2.96560363112318
0.04,0.02,0.01,0.06,0.004,2.1,4.55886513434892,2.0473233901829
0.035,0.02,0.01,0.06,0.004,2.1,4.19895472900558,2.13914167293348
0.03,0.02,0.01,0.06,0.004,2.1,4.47888504427262,2.31371700618545
0.02,0.015,0.008,0.06,0.008,2.1,9.91755092030554,2.90828445443386
0.025,0.015,0.008,0.06,0.008,2.1,9.91755092030554,2.90828445443386
0.03,0.015,0.008,0.06,0.008,2.1,3.07923960025616,1.59121591459196
0.035,0.015,0.008,0.06,0.008,2.1,2.91927910154155,1.64493019677458
0.04,0.015,0.008,0.06,0.008,2.1,4.4389038393303,1.85953266677017
0.025,0.0175,0.008,0.06,0.008,2.1,9.91755092030554,2.90828445443386
0.02,0.0175,0.008,0.06,0.008,2.1,9.91755092030554,2.90828445443386
0.03,0.0175,0.008,0.06,0.008,2.1,5.07874583418872,2.29304290227484
0.035,0.0175,0.008,0.06,0.008,2.1,3.43915072236402,1.94167407202837
0.04,0.0175,0.008,0.06,0.008,2.1,4.4389038393303,1.98930228146719
0.02,0.02,0.008,0.06,0.008,2.1,9.91755092030554,2.90828445443386
